year_film,year_ceremony,ceremony,category,name,film,In movies dataset?,winner
1929,1930,3,CINEMATOGRAPHY,(Arthur Edeson),All Quiet on the Western Front,All Quiet on the Western Front,FALSE
1929,1930,3,DIRECTING,Lewis Milestone,All Quiet on the Western Front,All Quiet on the Western Front,TRUE
1929,1930,3,OUTSTANDING PRODUCTION,Universal,All Quiet on the Western Front,All Quiet on the Western Front,TRUE
1929,1930,3,WRITING,"(George Abbott), (Maxwell Anderson), (Del Andrews)",All Quiet on the Western Front,All Quiet on the Western Front,FALSE
1932,1933,6,DIRECTING,George Cukor,Little Women,Little Women,FALSE
1932,1933,6,OUTSTANDING PRODUCTION,RKO Radio,Little Women,Little Women,FALSE
1932,1933,6,WRITING (Adaptation),"Victor Heerman, Sarah Y. Mason",Little Women,Little Women,TRUE
1934,1935,7,ACTOR,Clark Gable,It Happened One Night,It Happened One Night,TRUE
1934,1935,7,ACTOR,William Powell,The Thin Man,The Thin Man,FALSE
1934,1935,7,ACTRESS,Claudette Colbert,It Happened One Night,It Happened One Night,TRUE
1934,1935,7,DIRECTING,Frank Capra,It Happened One Night,It Happened One Night,TRUE
1934,1935,7,DIRECTING,W. S. Van Dyke,The Thin Man,The Thin Man,FALSE
1934,1935,7,OUTSTANDING PRODUCTION,Columbia,It Happened One Night,It Happened One Night,TRUE
1934,1935,7,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Thin Man,The Thin Man,FALSE
1934,1935,7,WRITING (Adaptation),Robert Riskin,It Happened One Night,It Happened One Night,TRUE
1934,1935,7,WRITING (Adaptation),"Frances Goodrich, Albert Hackett",The Thin Man,The Thin Man,FALSE
1935,1936,8,SOUND RECORDING,"Universal Studio Sound Department, Gilbert Kurland, Sound Director",Bride of Frankenstein,Bride of Frankenstein,FALSE
1936,1937,9,ASSISTANT DIRECTOR,Clem Beauchamp,The Last of the Mohicans,The Last of the Mohicans,FALSE
1937,1938,10,ACTOR,Fredric March,A Star Is Born,A Star Is Born,FALSE
1937,1938,10,ACTOR IN A SUPPORTING ROLE,Thomas Mitchell,The Hurricane,The Hurricane,FALSE
1937,1938,10,ACTRESS,Janet Gaynor,A Star Is Born,A Star Is Born,FALSE
1937,1938,10,ASSISTANT DIRECTOR,Eric Stacey,A Star Is Born,A Star Is Born,FALSE
1937,1938,10,DIRECTING,William Wellman,A Star Is Born,A Star Is Born,FALSE
1937,1938,10,MUSIC (Scoring),"Samuel Goldwyn Studio Music Department, Alfred Newman, head of department  (Score by Alfred Newman)",The Hurricane,The Hurricane,FALSE
1937,1938,10,OUTSTANDING PRODUCTION,Selznick International Pictures,A Star Is Born,A Star Is Born,FALSE
1937,1938,10,SOUND RECORDING,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",The Hurricane,The Hurricane,TRUE
1937,1938,10,WRITING (Original Story),"William A. Wellman, Robert Carson",A Star Is Born,A Star Is Born,TRUE
1937,1938,10,WRITING (Screenplay),"Dorothy Parker, Alan Campbell, Robert Carson",A Star Is Born,A Star Is Born,FALSE
1938,1939,11,ART DIRECTION,Carl J. Weyl,The Adventures of Robin Hood,The Adventures of Robin Hood,TRUE
1938,1939,11,FILM EDITING,Ralph Dawson,The Adventures of Robin Hood,The Adventures of Robin Hood,TRUE
1938,1939,11,MUSIC (Original Score),Erich Wolfgang Korngold,The Adventures of Robin Hood,The Adventures of Robin Hood,TRUE
1938,1939,11,OUTSTANDING PRODUCTION,Warner Bros.-First National,The Adventures of Robin Hood,The Adventures of Robin Hood,FALSE
1939,1940,12,ACTOR,Clark Gable,Gone with the Wind,Gone with the Wind,FALSE
1939,1940,12,ACTOR,James Stewart,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,FALSE
1939,1940,12,ACTOR IN A SUPPORTING ROLE,Harry Carey,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,FALSE
1939,1940,12,ACTOR IN A SUPPORTING ROLE,Thomas Mitchell,Stagecoach,Stagecoach,TRUE
1939,1940,12,ACTOR IN A SUPPORTING ROLE,Claude Rains,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,FALSE
1939,1940,12,ACTRESS,Vivien Leigh,Gone with the Wind,Gone with the Wind,TRUE
1939,1940,12,ACTRESS IN A SUPPORTING ROLE,Olivia de Havilland,Gone with the Wind,Gone with the Wind,FALSE
1939,1940,12,ACTRESS IN A SUPPORTING ROLE,Hattie McDaniel,Gone with the Wind,Gone with the Wind,TRUE
1939,1940,12,ART DIRECTION,Lyle Wheeler,Gone with the Wind,Gone with the Wind,TRUE
1939,1940,12,ART DIRECTION,Lionel Banks,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,FALSE
1939,1940,12,ART DIRECTION,Alexander Toluboff,Stagecoach,Stagecoach,FALSE
1939,1940,12,ART DIRECTION,"Cedric Gibbons, William A. Horning",The Wizard of Oz,The Wizard of Oz,FALSE
1939,1940,12,CINEMATOGRAPHY (Black-and-White),Bert Glennon,Stagecoach,Stagecoach,FALSE
1939,1940,12,CINEMATOGRAPHY (Color),"Ernest Haller, Ray Rennahan",Gone with the Wind,Gone with the Wind,TRUE
1939,1940,12,CINEMATOGRAPHY (Color),Hal Rosson,The Wizard of Oz,The Wizard of Oz,FALSE
1939,1940,12,DIRECTING,Victor Fleming,Gone with the Wind,Gone with the Wind,TRUE
1939,1940,12,DIRECTING,Frank Capra,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,FALSE
1939,1940,12,DIRECTING,John Ford,Stagecoach,Stagecoach,FALSE
1939,1940,12,FILM EDITING,"Hal C. Kern, James E. Newcom",Gone with the Wind,Gone with the Wind,TRUE
1939,1940,12,FILM EDITING,"Gene Havlick, Al Clark",Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,FALSE
1939,1940,12,FILM EDITING,"Otho Lovering, Dorothy Spencer",Stagecoach,Stagecoach,FALSE
1939,1940,12,MUSIC (Original Score),Max Steiner,Gone with the Wind,Gone with the Wind,FALSE
1939,1940,12,MUSIC (Original Score),Herbert Stothart,The Wizard of Oz,The Wizard of Oz,TRUE
1939,1940,12,MUSIC (Scoring),Dimitri Tiomkin,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,FALSE
1939,1940,12,MUSIC (Scoring),"Richard Hageman, Frank Harling, John Leipold, Leo Shuken",Stagecoach,Stagecoach,TRUE
1939,1940,12,MUSIC (Song),Music by Harold Arlen; Lyrics by E. Y. Harburg,The Wizard of Oz,The Wizard of Oz,TRUE
1939,1940,12,OUTSTANDING PRODUCTION,Selznick International Pictures,Gone with the Wind,Gone with the Wind,TRUE
1939,1940,12,OUTSTANDING PRODUCTION,Columbia,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,FALSE
1939,1940,12,OUTSTANDING PRODUCTION,Walter Wanger (production company),Stagecoach,Stagecoach,FALSE
1939,1940,12,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Wizard of Oz,The Wizard of Oz,FALSE
1939,1940,12,SOUND RECORDING,"Samuel Goldwyn Studio Sound Department, Thomas T. Moulton, Sound Director",Gone with the Wind,Gone with the Wind,FALSE
1939,1940,12,SOUND RECORDING,"Columbia Studio Sound Department, John Livadary, Sound Director",Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,FALSE
1939,1940,12,SPECIAL EFFECTS,"John R. Cosgrove, Fred Albin, Arthur Johns",Gone with the Wind,Gone with the Wind,FALSE
1939,1940,12,SPECIAL EFFECTS,"A. Arnold Gillespie, Douglas Shearer",The Wizard of Oz,The Wizard of Oz,FALSE
1939,1940,12,WRITING (Original Story),Lewis R. Foster,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,TRUE
1939,1940,12,WRITING (Screenplay),Sidney Howard,Gone with the Wind,Gone with the Wind,TRUE
1939,1940,12,WRITING (Screenplay),Sidney Buchman,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,FALSE
1940,1941,13,ACTOR,Charles Chaplin,The Great Dictator,The Great Dictator,FALSE
1940,1941,13,ACTOR,Henry Fonda,The Grapes of Wrath,The Grapes of Wrath,FALSE
1940,1941,13,ACTOR,Laurence Olivier,Rebecca,Rebecca,FALSE
1940,1941,13,ACTOR,James Stewart,The Philadelphia Story,The Philadelphia Story,TRUE
1940,1941,13,ACTOR IN A SUPPORTING ROLE,Jack Oakie,The Great Dictator,The Great Dictator,FALSE
1940,1941,13,ACTRESS,Joan Fontaine,Rebecca,Rebecca,FALSE
1940,1941,13,ACTRESS,Katharine Hepburn,The Philadelphia Story,The Philadelphia Story,FALSE
1940,1941,13,ACTRESS IN A SUPPORTING ROLE,Judith Anderson,Rebecca,Rebecca,FALSE
1940,1941,13,ACTRESS IN A SUPPORTING ROLE,Jane Darwell,The Grapes of Wrath,The Grapes of Wrath,TRUE
1940,1941,13,ACTRESS IN A SUPPORTING ROLE,Ruth Hussey,The Philadelphia Story,The Philadelphia Story,FALSE
1940,1941,13,ART DIRECTION (Black-and-White),Lyle Wheeler,Rebecca,Rebecca,FALSE
1940,1941,13,CINEMATOGRAPHY (Black-and-White),George Barnes,Rebecca,Rebecca,TRUE
1940,1941,13,DIRECTING,John Ford,The Grapes of Wrath,The Grapes of Wrath,TRUE
1940,1941,13,DIRECTING,George Cukor,The Philadelphia Story,The Philadelphia Story,FALSE
1940,1941,13,DIRECTING,Alfred Hitchcock,Rebecca,Rebecca,FALSE
1940,1941,13,FILM EDITING,Robert Simpson,The Grapes of Wrath,The Grapes of Wrath,FALSE
1940,1941,13,FILM EDITING,Hal C. Kern,Rebecca,Rebecca,FALSE
1940,1941,13,MUSIC (Original Score),Meredith Willson,The Great Dictator,The Great Dictator,FALSE
1940,1941,13,MUSIC (Original Score),Franz Waxman,Rebecca,Rebecca,FALSE
1940,1941,13,OUTSTANDING PRODUCTION,20th Century-Fox,The Grapes of Wrath,The Grapes of Wrath,FALSE
1940,1941,13,OUTSTANDING PRODUCTION,Charles Chaplin Productions,The Great Dictator,The Great Dictator,FALSE
1940,1941,13,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Philadelphia Story,The Philadelphia Story,FALSE
1940,1941,13,OUTSTANDING PRODUCTION,Selznick International Pictures,Rebecca,Rebecca,TRUE
1940,1941,13,SOUND RECORDING,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director",The Grapes of Wrath,The Grapes of Wrath,FALSE
1940,1941,13,SPECIAL EFFECTS,Photographic Effects by Jack Cosgrove; Sound Effects by Arthur Johns,Rebecca,Rebecca,FALSE
1940,1941,13,WRITING (Original Screenplay),Charles Chaplin,The Great Dictator,The Great Dictator,FALSE
1940,1941,13,WRITING (Screenplay),Nunnally Johnson,The Grapes of Wrath,The Grapes of Wrath,FALSE
1940,1941,13,WRITING (Screenplay),Donald Ogden Stewart,The Philadelphia Story,The Philadelphia Story,TRUE
1940,1941,13,WRITING (Screenplay),"Robert E. Sherwood, Joan Harrison",Rebecca,Rebecca,FALSE
1941,1942,14,ACTOR,Orson Welles,Citizen Kane,Citizen Kane,FALSE
1941,1942,14,ACTOR IN A SUPPORTING ROLE,Sydney Greenstreet,The Maltese Falcon,The Maltese Falcon,FALSE
1941,1942,14,ART DIRECTION (Black-and-White),"Art Direction:  Perry Ferguson, Van Nest Polglase;  Interior Decoration:  Al Fields, Darrell Silvera",Citizen Kane,Citizen Kane,FALSE
1941,1942,14,CINEMATOGRAPHY (Black-and-White),Gregg Toland,Citizen Kane,Citizen Kane,FALSE
1941,1942,14,DIRECTING,Orson Welles,Citizen Kane,Citizen Kane,FALSE
1941,1942,14,FILM EDITING,Robert Wise,Citizen Kane,Citizen Kane,FALSE
1941,1942,14,MUSIC (Music Score of a Dramatic Picture),Bernard Herrmann,Citizen Kane,Citizen Kane,FALSE
1941,1942,14,OUTSTANDING MOTION PICTURE,Mercury,Citizen Kane,Citizen Kane,FALSE
1941,1942,14,OUTSTANDING MOTION PICTURE,Warner Bros.,The Maltese Falcon,The Maltese Falcon,FALSE
1941,1942,14,SOUND RECORDING,"RKO Radio Studio Sound Department, John Aalberg, Sound Director",Citizen Kane,Citizen Kane,FALSE
1941,1942,14,WRITING (Original Screenplay),"Herman J. Mankiewicz, Orson Welles",Citizen Kane,Citizen Kane,TRUE
1941,1942,14,WRITING (Screenplay),John Huston,The Maltese Falcon,The Maltese Falcon,FALSE
1942,1943,15,MUSIC (Music Score of a Dramatic or Comedy Picture),Max Terr,The Gold Rush,The Gold Rush,FALSE
1942,1943,15,MUSIC (Music Score of a Dramatic or Comedy Picture),Werner Heymann,To Be or Not to Be,To Be or Not to Be,FALSE
1942,1943,15,SOUND RECORDING,"RCA Sound, James Fields, Sound Director",The Gold Rush,The Gold Rush,FALSE
1943,1944,16,ACTOR,Humphrey Bogart,Casablanca,Casablanca,FALSE
1943,1944,16,ACTOR IN A SUPPORTING ROLE,Claude Rains,Casablanca,Casablanca,FALSE
1943,1944,16,CINEMATOGRAPHY (Black-and-White),Arthur Edeson,Casablanca,Casablanca,FALSE
1943,1944,16,DIRECTING,Michael Curtiz,Casablanca,Casablanca,TRUE
1943,1944,16,FILM EDITING,Owen Marks,Casablanca,Casablanca,FALSE
1943,1944,16,MUSIC (Music Score of a Dramatic or Comedy Picture),Max Steiner,Casablanca,Casablanca,FALSE
1943,1944,16,OUTSTANDING MOTION PICTURE,Warner Bros.,Casablanca,Casablanca,TRUE
1943,1944,16,WRITING (Original Motion Picture Story),Gordon McDonell,Shadow of a Doubt,Shadow of a Doubt,FALSE
1943,1944,16,WRITING (Screenplay),"Julius J. Epstein, Philip G. Epstein, Howard Koch",Casablanca,Casablanca,TRUE
1944,1945,17,ACTOR IN A SUPPORTING ROLE,Clifton Webb,Laura,Laura,FALSE
1944,1945,17,ACTRESS,Barbara Stanwyck,Double Indemnity,Double Indemnity,FALSE
1944,1945,17,ART DIRECTION (Black-and-White),"Art Direction:  Lyle Wheeler, Leland Fuller;  Interior Decoration:  Thomas Little",Laura,Laura,FALSE
1944,1945,17,CINEMATOGRAPHY (Black-and-White),John Seitz,Double Indemnity,Double Indemnity,FALSE
1944,1945,17,CINEMATOGRAPHY (Black-and-White),Joseph LaShelle,Laura,Laura,TRUE
1944,1945,17,CINEMATOGRAPHY (Black-and-White),Glen MacWilliams,Lifeboat,Lifeboat,FALSE
1944,1945,17,DIRECTING,Billy Wilder,Double Indemnity,Double Indemnity,FALSE
1944,1945,17,DIRECTING,Otto Preminger,Laura,Laura,FALSE
1944,1945,17,DIRECTING,Alfred Hitchcock,Lifeboat,Lifeboat,FALSE
1944,1945,17,MUSIC (Music Score of a Dramatic or Comedy Picture),Miklos Rozsa,Double Indemnity,Double Indemnity,FALSE
1944,1945,17,MUSIC (Scoring of a Musical Picture),Walter Scharf,Brazil,Brazil,FALSE
1944,1945,17,MUSIC (Song),Music by Ary Barroso; Lyrics by Ned Washington,Brazil,Brazil,FALSE
1944,1945,17,BEST MOTION PICTURE,Paramount,Double Indemnity,Double Indemnity,FALSE
1944,1945,17,SOUND RECORDING,"Republic Studio Sound Department, Daniel J. Bloomberg, Sound Director",Brazil,Brazil,FALSE
1944,1945,17,SOUND RECORDING,"Paramount Studio Sound Department, Loren L. Ryder, Sound Director",Double Indemnity,Double Indemnity,FALSE
1944,1945,17,WRITING (Original Motion Picture Story),John Steinbeck,Lifeboat,Lifeboat,FALSE
1944,1945,17,WRITING (Screenplay),"Billy Wilder, Raymond Chandler",Double Indemnity,Double Indemnity,FALSE
1944,1945,17,WRITING (Screenplay),"Jay Dratler, Samuel Hoffenstein, Betty Reinhardt",Laura,Laura,FALSE
1945,1946,18,ACTOR,Ray Milland,The Lost Weekend,The Lost Weekend,TRUE
